resultId,raceId,driverId,fastestLap,fastestLapTime
1,18,1,39,01:27.5
2,18,2,41,01:27.7
3,18,3,41,01:28.1
4,18,4,58,01:28.6
5,18,5,43,01:27.4
6,18,6,50,01:29.6
7,18,7,22,01:29.5
8,18,8,20,01:27.9
9,18,9,15,01:28.8
10,18,10,23,01:29.6
11,18,11,24,01:30.9
12,18,12,20,01:31.4
13,18,13,23,01:28.2
14,18,14,21,01:29.5
15,18,15,18,01:29.3
16,18,16,8,01:32.0
22,18,22,44,01:28.7
23,19,8,37,01:35.4
24,19,9,39,01:35.9
25,19,5,19,01:35.9
26,19,15,53,01:36.1
27,19,1,53,01:35.5
28,19,2,55,01:35.4
29,19,17,53,01:36.7
30,19,4,40,01:36.3
31,19,14,55,01:36.2
32,19,18,56,01:35.7
33,19,12,52,01:37.0
34,19,21,52,01:37.0
35,19,22,55,01:36.7
36,19,3,55,01:36.8
37,19,19,55,01:38.2
38,19,11,53,01:38.5
39,19,6,19,01:37.7
40,19,20,37,01:36.9
41,19,13,15,01:35.9
42,19,16,3,01:40.3
45,20,13,38,01:33.6
46,20,8,35,01:33.7
47,20,9,55,01:33.8
48,20,2,48,01:33.6
49,20,5,49,01:33.2
50,20,15,45,01:34.2
51,20,17,51,01:34.3
52,20,3,57,01:34.1
53,20,10,56,01:34.8
54,20,4,35,01:35.2
55,20,22,40,01:34.9
56,20,21,56,01:35.1
57,20,1,25,01:35.5
58,20,6,30,01:35.4
59,20,7,33,01:35.3
60,20,19,45,01:35.3
61,20,11,56,01:35.9
62,20,14,43,01:35.4
63,20,16,55,01:35.4
64,20,12,31,01:35.1
65,20,18,11,01:36.1
67,21,8,46,01:21.7
68,21,13,45,01:21.8
69,21,1,20,01:22.0
70,21,9,20,01:22.1
71,21,17,19,01:22.6
72,21,18,66,01:22.4
73,21,6,48,01:23.5
74,21,15,45,01:22.8
75,21,2,21,01:22.5
76,21,21,40,01:23.4
77,21,10,57,01:23.0
78,21,14,57,01:22.8
79,21,11,34,01:24.6
80,21,3,20,01:23.3
81,21,4,15,01:22.7
82,21,22,21,01:23.9
83,21,5,19,01:22.5
84,21,19,6,01:26.9
85,21,7,6,01:26.0
86,21,12,6,01:25.4
89,22,13,16,01:26.7
90,22,1,31,01:26.5
91,22,8,20,01:26.5
92,22,9,17,01:26.8
93,22,2,20,01:27.2
94,22,4,57,01:27.3
95,22,17,14,01:27.6
96,22,3,55,01:27.8
97,22,14,41,01:28.0
98,22,15,52,01:27.9
99,22,18,57,01:28.0
100,22,5,55,01:27.6
101,22,10,28,01:28.3
102,22,22,56,01:28.0
103,22,12,40,01:27.9
104,22,16,35,01:28.8
105,22,20,38,01:28.2
106,22,7,19,01:28.7
109,23,1,71,01:18.5
110,23,9,75,01:17.9
111,23,13,76,01:17.9
112,23,17,74,01:19.0
113,23,20,74,01:18.8
114,23,22,75,01:19.6
115,23,6,75,01:19.9
116,23,5,74,01:17.3
117,23,8,74,01:16.7
118,23,4,73,01:17.9
119,23,18,74,01:19.6
120,23,10,75,01:19.6
121,23,15,75,01:19.8
122,23,2,72,01:20.3
123,23,16,60,01:22.0
124,23,3,58,01:21.3
125,23,12,40,01:31.2
126,23,21,33,01:32.8
127,23,14,7,01:42.1
128,23,7,7,01:41.2
129,24,9,47,01:17.5
130,24,2,25,01:17.4
131,24,14,36,01:18.1
132,24,10,31,01:19.1
133,24,13,11,01:18.0
134,24,15,38,01:18.9
135,24,22,35,01:18.3
136,24,20,33,01:18.5
137,24,5,62,01:18.5
138,24,3,14,01:18.0
139,24,18,58,01:19.4
140,24,17,51,01:18.2
141,24,7,34,01:18.6
142,24,21,41,01:19.1
143,24,6,30,01:18.8
144,24,4,16,01:18.2
145,24,12,16,01:19.2
146,24,8,14,01:17.4
147,24,1,4,01:17.5
148,24,16,7,01:20.7
149,25,13,20,01:16.7
150,25,8,16,01:16.6
151,25,15,12,01:17.6
152,25,5,46,01:17.1
153,25,9,16,01:17.2
154,25,17,22,01:17.5
155,25,12,24,01:17.8
156,25,4,39,01:17.6
157,25,14,23,01:17.8
158,25,1,40,01:17.5
159,25,10,45,01:17.8
160,25,20,36,01:17.8
161,25,2,46,01:17.7
162,25,22,54,01:18.0
163,25,6,60,01:18.1
164,25,3,38,01:18.3
165,25,7,28,01:18.2
166,25,21,53,01:18.6
167,25,16,41,01:18.5
168,25,18,15,01:20.9
169,26,1,16,01:32.8
170,26,2,21,01:32.7
171,26,22,21,01:33.4
172,26,8,18,01:32.1
173,26,5,17,01:33.1
174,26,4,17,01:33.1
175,26,15,22,01:33.8
176,26,6,21,01:34.3
177,26,3,21,01:34.8
178,26,17,17,01:33.0
179,26,7,21,01:33.4
180,26,10,19,01:34.6
181,26,13,19,01:33.3
182,26,9,22,01:33.5
183,26,18,21,01:33.4
