ResultadoID,CorridaID,PilotoID,PilotoPosicaoCheg,PilotoPontosCorrida,ResultadoVrapida
1,18,1,1,10,01:27.5
2,18,2,2,8,01:27.7
3,18,3,3,6,01:28.1
4,18,4,4,5,01:28.6
5,18,5,5,4,01:27.4
6,18,6,6,3,01:29.6
7,18,7,7,2,01:29.5
8,18,8,8,1,01:27.9
9,18,9,9,0,01:28.8
10,18,10,10,0,01:29.6
11,18,11,11,0,01:30.9
12,18,12,12,0,01:31.4
13,18,13,13,0,01:28.2
14,18,14,14,0,01:29.5
15,18,15,15,0,01:29.3
16,18,16,16,0,01:32.0
17,18,17,17,0,
18,18,18,18,0,
19,18,19,19,0,
20,18,20,20,0,
21,18,21,21,0,
22,18,22,22,0,01:28.7
23,19,8,1,10,01:35.4
24,19,9,2,8,01:35.9
25,19,5,3,6,01:35.9
26,19,15,4,5,01:36.1
27,19,1,5,4,01:35.5
28,19,2,6,3,01:35.4
29,19,17,7,2,01:36.7
30,19,4,8,1,01:36.3
31,19,14,9,0,01:36.2
32,19,18,10,0,01:35.7
33,19,12,11,0,01:37.0
34,19,21,12,0,01:37.0
35,19,22,13,0,01:36.7
36,19,3,14,0,01:36.8
37,19,19,15,0,01:38.2
38,19,11,16,0,01:38.5
39,19,6,17,0,01:37.7
40,19,20,18,0,01:36.9
41,19,13,19,0,01:35.9
42,19,16,20,0,01:40.3
43,19,10,21,0,
44,19,7,22,0,
45,20,13,1,10,01:33.6
46,20,8,2,8,01:33.7
47,20,9,3,6,01:33.8
48,20,2,4,5,01:33.6
49,20,5,5,4,01:33.2
50,20,15,6,3,01:34.2
51,20,17,7,2,01:34.3
52,20,3,8,1,01:34.1
53,20,10,9,0,01:34.8
54,20,4,10,0,01:35.2
55,20,22,11,0,01:34.9
56,20,21,12,0,01:35.1
57,20,1,13,0,01:35.5
58,20,6,14,0,01:35.4
59,20,7,15,0,01:35.3
60,20,19,16,0,01:35.3
61,20,11,17,0,01:35.9
62,20,14,18,0,01:35.4
63,20,16,19,0,01:35.4
64,20,12,20,0,01:35.1
65,20,18,21,0,01:36.1
66,20,20,22,0,
67,21,8,1,10,01:21.7
68,21,13,2,8,01:21.8
69,21,1,3,6,01:22.0
70,21,9,4,5,01:22.1
71,21,17,5,4,01:22.6
72,21,18,6,3,01:22.4
73,21,6,7,2,01:23.5
74,21,15,8,1,01:22.8
75,21,2,9,0,01:22.5
76,21,21,10,0,01:23.4
77,21,10,11,0,01:23.0
78,21,14,12,0,01:22.8
79,21,11,13,0,01:24.6
80,21,3,14,0,01:23.3
81,21,4,15,0,01:22.7
82,21,22,16,0,01:23.9
83,21,5,17,0,01:22.5
84,21,19,18,0,01:26.9
85,21,7,19,0,01:26.0
86,21,12,20,0,01:25.4
87,21,16,21,0,
88,21,20,22,0,
89,22,13,1,10,01:26.7
90,22,1,2,8,01:26.5
91,22,8,3,6,01:26.5
92,22,9,4,5,01:26.8
93,22,2,5,4,01:27.2
94,22,4,6,3,01:27.3
95,22,17,7,2,01:27.6
96,22,3,8,1,01:27.8
97,22,14,9,0,01:28.0
98,22,15,10,0,01:27.9
99,22,18,11,0,01:28.0
100,22,5,12,0,01:27.6
101,22,10,13,0,01:28.3
102,22,22,14,0,01:28.0
103,22,12,15,0,01:27.9
104,22,16,16,0,01:28.8
105,22,20,17,0,01:28.2
106,22,7,18,0,01:28.7
107,22,6,19,0,
108,22,21,20,0,
109,23,1,1,10,01:18.5
110,23,9,2,8,01:17.9
111,23,13,3,6,01:17.9
112,23,17,4,5,01:19.0
113,23,20,5,4,01:18.8
114,23,22,6,3,01:19.6
115,23,6,7,2,01:19.9
116,23,5,8,1,01:17.3
117,23,8,9,0,01:16.7
118,23,4,10,0,01:17.9
119,23,18,11,0,01:19.6
120,23,10,12,0,01:19.6
121,23,15,13,0,01:19.8
122,23,2,14,0,01:20.3
123,23,16,15,0,01:22.0
124,23,3,16,0,01:21.3
125,23,12,17,0,01:31.2
126,23,21,18,0,01:32.8
127,23,14,19,0,01:42.1
128,23,7,20,0,01:41.2
129,24,9,1,10,01:17.5
130,24,2,2,8,01:17.4
131,24,14,3,6,01:18.1
132,24,10,4,5,01:19.1
133,24,13,5,4,01:18.0
134,24,15,6,3,01:18.9
135,24,22,7,2,01:18.3
136,24,20,8,1,01:18.5
137,24,5,9,0,01:18.5
138,24,3,10,0,01:18.0
139,24,18,11,0,01:19.4
140,24,17,12,0,01:18.2
141,24,7,13,0,01:18.6
142,24,21,14,0,01:19.1
143,24,6,15,0,01:18.8
144,24,4,16,0,01:18.2
145,24,12,17,0,01:19.2
146,24,8,18,0,01:17.4
